2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
2023-05-21 13:17:18 - SQL query prepared (SELECT)
